feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target_0,target_1,target_2,sample_id
0.09849774,-0.13951278,1.9237027,-0.081182934,-0.8854542,-0.873356,0.13501039,-1.1797242,-1.6939106,-0.32427266,1.4779587,-0.17499357,-2.1387708,-0.64673764,-0.8195535,-0.3241336,15.0,-0.018436508,0.19369008,15.0,-0.018436508,72
0.90148133,-6.4092636,-0.03791262,1.4302213,1.661008,2.1094255,-1.4588177,-3.9042006,-3.6346016,-0.31436956,-0.1472985,-3.0157325,0.15043972,-0.6816455,3.0527492,4.321713,16.0,-0.018436508,2.3630745,16.0,-0.018436508,73
-0.22401327,2.5236473,1.7066982,-1.6181849,1.3662366,1.02735,1.623277,0.06871611,1.240293,0.9655467,1.7173834,0.00690165,0.70092916,-0.5219684,-0.27498174,-0.34844282,17.0,-0.018436508,3.323084,17.0,-0.018436508,74
0.054397695,-0.03912362,-0.44504848,-0.9246212,-0.059698086,0.023365641,-0.3835737,-0.21948655,0.096502244,-0.49093473,-0.41109103,0.14098689,0.10398331,-0.22457296,0.22717927,0.8549524,18.0,-0.018436508,1.6674721,18.0,-0.018436508,75
1.0850332,1.0005567,-0.18970855,0.6438015,0.99458176,1.5148293,0.3622121,0.4902912,0.43907693,-0.31630185,-0.18657471,-0.42440066,0.09291239,1.0201555,-0.57767993,-0.5063977,0.0,0.4793492,2.3187094,0.0,0.4793492,76
-0.6270502,-0.8392244,1.6269122,0.46339625,0.12757552,0.13267958,0.3678855,0.7653984,-0.36667383,1.4227805,0.3028467,-0.9081145,-0.1146155,2.783089,-0.19257483,-0.16415176,1.0,0.4793492,1.3228691,1.0,0.4793492,77
1.1017834,0.08035293,-0.35791036,-0.60638136,0.33447826,0.7913667,0.058092725,0.40295884,0.5282537,-0.11485816,-0.30152264,0.22580417,0.65435565,-0.6192217,-0.28195438,-0.48968416,2.0,0.4793492,3.033835,2.0,0.4793492,78
1.0329579,-0.30315256,-0.9811999,-1.1909767,-0.053554468,0.36055535,-0.7693063,-0.56470746,-0.4664094,-0.5083255,-0.6489174,0.262972,-0.4807445,-0.5566799,0.37453794,-0.28540125,3.0,0.4793492,1.3627995,3.0,0.4793492,79
0.5001813,-0.068901405,-0.47751468,0.4603294,-0.7584399,-0.54425395,-0.24238287,0.48613456,-0.29955822,-0.76218325,-0.33007938,0.086668685,-0.36284184,0.06112662,-0.26650843,-0.40589347,4.0,0.4793492,2.680231,4.0,0.4793492,80
-0.48002186,-0.27942115,-0.52190965,0.65195775,-0.61116105,-0.76928985,-0.29996446,0.77854556,0.18801115,2.4932823,-0.18414712,0.8930218,0.35982844,-0.62420064,-0.013215624,-0.36238658,5.0,0.4793492,2.9757607,5.0,0.4793492,81
-0.5342706,-0.16954558,-0.59055966,0.29973477,-0.5017679,-0.6793409,-0.51889586,0.34785843,-0.31602082,0.60589486,-0.486021,0.49564254,-0.33444783,-0.5097921,-0.100436054,-0.14120315,6.0,0.4793492,2.29142,6.0,0.4793492,82
-0.37206492,-0.40197584,-0.22347623,1.0445399,-0.019736735,-0.049903948,-0.14305669,0.10028681,-0.26153967,-0.6211243,0.012467496,0.2561683,-0.17717992,0.238898,-0.70800143,-0.44203815,7.0,0.4793492,2.6550696,7.0,0.4793492,83
-0.060459033,0.08358002,1.0141459,1.7117469,1.6089302,0.47908235,0.5428015,1.0183462,1.1531833,-0.7532463,0.42127854,0.76563513,1.2393427,-0.47291136,1.3461903,-0.17786877,8.0,0.4793492,5.069786,8.0,0.4793492,84
-0.6053724,-0.63505024,-0.5064828,0.62854344,-0.96498185,-1.3910874,-0.4612471,0.6482734,-0.44836783,1.040907,-0.42254457,0.20139673,-0.30749872,1.8863878,-0.6175855,-0.5460625,9.0,0.4793492,1.6678591,9.0,0.4793492,85
-0.5101326,-0.5895666,-0.7223541,0.9986924,-1.3030272,-1.2811273,-0.6866702,0.12691757,-0.6148697,-0.9853655,-0.66512156,-0.10736243,-0.5259574,3.0640187,-0.7326101,-0.033464953,10.0,0.4793492,1.6753317,10.0,0.4793492,86
0.82517534,0.67986864,-0.30947655,-0.296678,-1.0358061,-0.6942759,-0.039947174,1.1660769,0.43072563,-0.7846464,-0.18798478,1.4625734,0.24799316,-0.34577996,-0.4407501,0.282401,11.0,0.4793492,3.1596358,11.0,0.4793492,87
0.031965848,-0.5014029,0.46961355,-0.07221145,0.57299644,0.5987376,1.1832705,0.5653736,-0.2764613,-0.84116656,1.1508588,-0.5214326,-0.22462021,-0.23282191,-0.88403624,-0.4013937,12.0,0.4793492,1.8717285,12.0,0.4793492,88
-3.218565,-0.31214336,-0.40074596,0.9613406,0.09579156,-0.19250955,-0.31080487,0.6667158,-0.19560973,-0.4981809,-0.37191856,0.39111054,-0.04134677,-0.63684464,2.2723942,0.06576884,13.0,0.4793492,2.9109025,13.0,0.4793492,89
0.48723167,0.28231737,-0.4645559,1.7582916,-1.4492183,-1.1285211,-0.1696434,1.3566507,1.5028354,-0.48634547,-0.14497995,-0.10081223,1.7750618,-0.5130716,0.1799291,-0.18561016,14.0,0.4793492,5.1400175,14.0,0.4793492,90
-0.0014824932,0.21676446,2.195155,0.49621296,-0.94374037,-0.9758565,0.8404227,2.7497022,0.5911332,-0.40808678,0.38027835,0.47797564,0.6646405,-0.5768919,-0.7873201,-0.4929903,15.0,0.4793492,1.82579,15.0,0.4793492,91
1.1235081,0.4699285,-0.083243325,-2.0361605,2.0294943,2.5682774,1.4264783,-0.42815724,0.93288666,-0.24432318,-1.0972488,-0.21705297,1.0734029,-0.6810952,3.065268,3.680275,16.0,0.4793492,-0.06969801,16.0,0.4793492,92
-0.2559719,1.0387374,2.5038226,2.8109593,1.2737116,0.948632,2.4261992,1.4989883,1.6831356,0.9703775,2.8183506,1.1696054,1.6634763,-0.45448455,-0.049895518,-0.34982157,17.0,0.4793492,7.5019975,17.0,0.4793492,93
-0.054950323,-0.6424912,-0.33852166,0.21475497,-0.17230402,-0.12548457,-0.13093123,0.3896548,0.020777293,-0.6150859,-0.12727703,0.4042522,0.18647707,-0.08577524,0.020620983,0.27127644,18.0,0.4793492,2.2419212,18.0,0.4793492,94
0.9307318,0.5512921,-0.0892388,0.21267831,0.80404824,1.270879,-0.13678707,0.80975443,0.38670784,-0.3868313,-0.19874597,0.51326525,0.23642,1.0019115,-0.6340916,-0.504172,0.0,0.97713494,2.906363,0.0,0.97713494,95
-0.61402893,-0.35805836,1.8861257,0.19556972,0.11776043,0.13511334,0.59934956,0.9574654,-0.065786034,1.3111894,0.3742398,0.5884454,0.059579916,2.6095746,-0.34572256,-0.16894373,1.0,0.97713494,1.7836667,1.0,0.97713494,96
1.2295395,0.4203567,-0.2424999,0.04566058,0.62928456,1.1357623,-0.20089044,0.16268608,0.30101418,-0.25712475,-0.08214409,0.037333593,0.1880855,-0.6200465,-0.3005158,-0.5003467,2.0,0.97713494,2.7429633,2.0,0.97713494,97
0.82427603,-0.35410914,-0.93939394,-0.01733051,-0.28475997,0.042706043,-0.45056397,-0.35168266,-0.6659094,-0.5286148,-0.5173743,-0.26532134,-0.7011489,-0.55998594,0.12436128,-0.350945,3.0,0.97713494,2.8604457,3.0,0.97713494,98
0.38735586,-0.35253212,-0.39145127,-0.37707907,-0.83019686,-0.66264224,-0.10055857,0.255345,-0.37608477,-0.84962046,-0.2573148,0.22711882,-0.32414788,0.05628852,-0.37875572,-0.49938846,4.0,0.97713494,0.9812326,4.0,0.97713494,99
-0.32659358,0.12620713,-0.43943122,-0.5322657,-0.34587416,-0.44032407,-0.31507146,0.24190074,-0.13610423,2.0176916,-0.2760023,0.799022,-0.23736107,-0.6331017,-0.09176393,-0.42878816,5.0,0.97713494,2.2844694,5.0,0.97713494,100
